mouse_id,target,preCount,preTrials,preProp
snc-dls-ctrl-6,20,199,6886,0.0288992158001743
snc-dls-ctrl-6,27,679,7483,0.0907390084190832
snc-dls-ctrl-6,17,463,7771,0.0595804915712264
snc-dls-ctrl-6,76,92,6855,0.0134208606856309
snc-dls-ctrl-6,-5,0,8572,0
snc-dls-ctrl-6,59,125,6655,0.0187828700225394
snc-dls-ctrl-6,30,467,7559,0.0617806588173039
vta-nacc-ctrl-6,27,714,7704,0.0926791277258567
vta-nacc-ctrl-6,20,204,7041,0.0289731572219855
vta-nacc-ctrl-6,76,98,7568,0.0129492600422833
vta-nacc-ctrl-6,17,176,7760,0.022680412371134
vta-nacc-ctrl-6,-5,0,8000,0
vta-nacc-ctrl-6,30,268,8187,0.0327348235006718
vta-nacc-ctrl-6,59,98,7884,0.0124302384576357
3440,27,803,3367,0.238491238491239
3440,20,40,3964,0.0100908173562059
3440,76,77,4793,0.0160650949301064
3440,17,355,5468,0.0649231894659839
3440,59,92,4700,0.0195744680851064
3440,30,68,5396,0.0126019273535953
3441,20,181,6614,0.0273661929241004
3441,27,812,5945,0.136585365853659
3441,17,103,6760,0.0152366863905325
3441,76,118,6877,0.0171586447578886
3441,30,41,6650,0.00616541353383459
3441,59,180,6819,0.0263968323801144
3442,27,1057,6188,0.170814479638009
3442,20,363,6562,0.0553185004571777
3442,76,160,7274,0.0219961506736321
3442,17,285,7660,0.0372062663185379
3442,59,79,7433,0.0106282792950357
3442,30,23,6481,0.00354883505631847
dlight-chrimson-1,20,283,8870,0.0319052987598647
dlight-chrimson-1,27,603,9095,0.0663001649257834
dlight-chrimson-1,76,144,9134,0.0157652726078388
dlight-chrimson-1,17,435,9082,0.0478969390002202
dlight-chrimson-1,59,75,8802,0.00852079072937969
dlight-chrimson-1,30,151,8694,0.0173682999769956
dlight-chrimson-2,27,735,7581,0.0969529085872576
dlight-chrimson-2,20,80,7292,0.0109709270433352
dlight-chrimson-2,17,302,8395,0.0359737939249553
dlight-chrimson-2,76,119,8484,0.014026402640264
dlight-chrimson-2,30,259,8437,0.0306981154438782
dlight-chrimson-2,59,181,7247,0.0249758520767214
dlight-chrimson-3,20,194,8188,0.0236932095749878
dlight-chrimson-3,27,559,8805,0.0634866553094833
dlight-chrimson-3,76,137,7911,0.0173176589558842
dlight-chrimson-3,17,395,8567,0.0461071553636045
dlight-chrimson-3,59,112,8504,0.013170272812794
dlight-chrimson-3,30,166,8315,0.0199639206253758
dlight-chrimson-4,27,727,7057,0.103018279722262
dlight-chrimson-4,20,199,7078,0.028115286804182
dlight-chrimson-4,17,257,7878,0.0326224930185326
dlight-chrimson-4,76,136,7301,0.0186275852622928
dlight-chrimson-4,30,183,7896,0.0231762917933131
dlight-chrimson-4,59,230,7892,0.0291434363912823
dlight-chrimson-5,20,264,8891,0.0296929479248678
dlight-chrimson-5,27,689,9195,0.0749320282762371
dlight-chrimson-5,76,235,8765,0.026811180832858
dlight-chrimson-5,17,297,8409,0.0353193007491973
dlight-chrimson-5,59,114,8664,0.0131578947368421
dlight-chrimson-5,30,114,8250,0.0138181818181818
dlight-chrimson-6,27,716,7705,0.0929266709928618
